Economy,Economy Code,Gallup World Poll identifier,Weight,Respondent is female,Respondent age,Respondent education level,Within-economy household income quintile,Has an account,Has an account at a financial institution,Has a mobile money account,Has a debit card,If has debit card: card in own name,If has debit card: used card in past 12 months,Has a credit card,If has credit card: used card in past 12 months,If does not have account: b/c too far away,If does not have account: b/c too expensive,If does not have account: b/c lack documentation,If does not have account: b/c lack trust,If does not have account: b/c religious reasons,If does not have account: b/c lack of money,If does not have account: b/c family member already has one,If does not have account: b/c cannot get one,If does not have account: b/c no need for financial services,If has account: any deposit into account in past 12 months,If has any deposit into account: number of monthly deposits,If has account: any withdrawal from account in past 12 months,If has any withdrawal from account: number of monthly withdrawals,If has account: most frequent mode of cash withdrawal,If has account: made a transaction using a mobile phone,Made payments online using the Internet,Saved in past 12 months: for farm/business purposes,Saved in past 12 months: for old age,Saved in past 12 months: for education or school fees,Saved in past 12 months: using an account at a financial institution,Saved in past 12 months: using an informal savings club,"Has loan from a financial institution for house, apartment, or land",Borrowed in past 12 months: from a financial institution,Borrowed in past 12 months: from a store (store credit),Borrowed in past 12 months: from family or friends,Borrowed in past 12 months: from another private lender,Borrowed in past 12 months: for education or school fees,Borrowed in past 12 months: for medical purposes,Borrowed in past 12 months: for farm/business purposes,Possibility of coming up with emergency funds,If able to come up with emergency funds: main source,Sent domestic remittances in past 12 months,If sent domestic remittances: in cash,If sent domestic remittances: through a financial institution,If sent domestic remittances: through a mobile phone,If sent domestic remittances: through an MTO,Received domestic remittances in past 12 months,If received domestic remittances: in cash,If received domestic remittances: through a financial institution,If received domestic remittances: through a mobile phone,If received domestic remittances: through an MTO,Paid utility bills in past 12 months,If paid utility bills: in cash,If paid utility bills: using an account,If paid utility bills: through a mobile phone,Paid school fees in past 12 months,If paid school fees: in cash,If paid school fees: using an account,If paid school fees: through a mobile phone,Received wage payments in past 12 months,If received wage payments: work in public sector,If received wage payments: in cash,If received wage payments: into an account or to a card,If received wage payments: through a mobile phone,If received cashless wage payments: account use,If received cashless wage payments: account type,Received government transfers in past 12 months,If received government transfers: in cash,If received government transfers: into an account or to a card,If received government transfers: through a mobile phone,If received cashless government transfers: account use,If received cashless government transfers: account type,Received agricultural payments in past 12 months,If received agricultural payments: in cash,If received agricultural payments: into an account,If received agricultural payments: through a mobile phone,Saved in the past year,Borrowed in the past year
Kenya,KEN,197838951,0.524307099,1 male,26,completed tertiary or more,5 richest 20%,yes,yes,yes,yes,yes,no,no,,,,,,,,,,,yes,1 one or two times per month,yes,1 one or two times per month,1 you get it at an atm,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,1 very possible,1 savings,no,,,,,no,,,,,yes,yes,no,yes,yes,yes,no,no,yes,no,yes,no,no,,,no,,,,,,no,,,,yes,yes
Kenya,KEN,164121603,3.060138722,2 female,56,secondary,4 fourth 20%,yes,yes,yes,yes,yes,yes,no,,,,,,,,,,,yes,1 one or two times per month,yes,1 one or two times per month,1 you get it at an atm,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,yes,yes,no,1 very possible,1 savings,yes,yes,no,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes,no,no,,,no,,,,,,no,,,,yes,yes
Kenya,KEN,132379853,1.675793862,2 female,56,secondary,4 fourth 20%,yes,yes,yes,yes,yes,no,no,,,,,,,,,,,yes,1 one or two times per month,yes,2 three or more times per month,1 you get it at an atm,no,no,no,no,yes,yes,no,no,no,no,yes,no,yes,yes,no,2 somewhat possible,"2 family, relatives, or friends",yes,yes,no,yes,no,no,,,,,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,2 over time as needed,1 you had this account before you began receiving payments from an employer.,no,,,,,,no,,,,yes,yes
Kenya,KEN,155203456,0.306013872,2 female,30,secondary,5 richest 20%,yes,yes,yes,yes,yes,no,no,,,,,,,,,,,yes,2 three or more times per month,yes,1 one or two times per month,1 you get it at an atm,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,1 very possible,1 savings,yes,no,no,yes,no,yes,yes,no,yes,no,no,,,,yes,yes,no,no,yes,no,yes,yes,no,2 over time as needed,1 you had this account before you began receiving payments from an employer.,no,,,,,,no,,,,yes,yes
Kenya,KEN,179949239,0.306013872,1 male,25,secondary,5 richest 20%,yes,yes,yes,yes,yes,no,no,,,,,,,,,,,yes,2 three or more times per month,yes,2 three or more times per month,1 you get it at an atm,no,no,yes,no,no,yes,no,no,no,no,yes,no,yes,no,yes,1 very possible,1 savings,yes,yes,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,yes,yes,no,no,yes,no,yes,no,yes,2 over time as needed,1 you had this account before you began receiving payments from an employer.,no,,,,,,no,,,,yes,yes
Kenya,KEN,164537464,0.306013872,1 male,32,secondary,5 richest 20%,yes,yes,yes,yes,yes,no,no,,,,,,,,,,,yes,1 one or two times per month,yes,2 three or more times per month,1 you get it at an atm,no,no,yes,no,yes,yes,no,no,no,no,yes,no,yes,yes,yes,1 very possible,1 savings,yes,yes,no,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,no,,,,yes,no,yes,no,yes,2 over time as needed,1 you had this account before you began receiving payments from an employer.,no,,,,,,no,,,,yes,yes
Kenya,KEN,195089637,1.256845396,2 female,60,secondary,4 fourth 20%,yes,yes,yes,yes,yes,no,no,,,,,,,,,,,yes,1 one or two times per month,yes,2 three or more times per month,1 you get it at an atm,yes,no,yes,no,yes,no,no,no,no,no,no,yes,no,no,yes,1 very possible,"2 family, relatives, or friends",yes,yes,no,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,no,,,,no,,,,,,,no,,,,,,yes,yes,no,no,yes,yes
Kenya,KEN,198900172,0.83839966,2 female,21,secondary,5 richest 20%,yes,yes,no,yes,yes,no,no,,,,,,,,,,,no,,no,,1 you get it at an atm,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,1 very possible,"2 family, relatives, or friends",no,,,,,yes,yes,no,yes,no,yes,yes,no,no,yes,no,yes,no,no,,,,,,,no,,,,,,no,,,,no,yes
Kenya,KEN,163437583,0.407078354,2 female,24,secondary,5 richest 20%,no,no,no,no,,,no,,no,no,no,no,no,yes,no,no,no,,,,,,,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,1 very possible,"2 family, relatives, or friends",yes,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,no,,,,yes,no,yes,no,no,,,no,,,,,,no,,,,yes,yes
Kenya,KEN,196894258,0.86284679,2 female,60,secondary,5 richest 20%,yes,yes,yes,yes,yes,yes,no,,,,,,,,,,,yes,1 one or two times per month,yes,2 three or more times per month,1 you get it at an atm,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,1 very possible,1 savings,yes,yes,no,no,no,no,,,,,yes,yes,yes,yes,no,,,,no,,,,,,,no,,,,,,no,,,,yes,no
Kenya,KEN,202093056,0.306013872,1 male,26,completed primary or less,4 fourth 20%,yes,no,yes,no,,,no,,no,no,no,no,no,yes,no,no,no,,,,,,,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,no,1 very possible,3 money from working or a loan from an employer,yes,no,no,yes,no,yes,no,no,yes,no,no,,,,yes,yes,no,no,yes,no,yes,no,yes,2 over time as needed,1 you had this account before you began receiving payments from an employer.,no,,,,,,yes,yes,no,no,yes,yes
Kenya,KEN,197087122,1.221235062,2 female,18,secondary,5 richest 20%,no,no,no,no,,,no,,no,no,yes,no,no,no,no,no,no,,,,,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2 somewhat possible,"2 family, relatives, or friends",no,,,,,yes,yes,no,yes,no,no,,,,no,,,,no,,,,,,,no,,,,,,no,,,,no,no
Kenya,KEN,200570361,0.407078354,2 female,24,secondary,4 fourth 20%,no,no,no,no,,,no,,no,yes,no,no,no,yes,yes,no,no,,,,,,,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,1 very possible,"2 family, relatives, or friends",yes,no,no,yes,no,yes,no,no,yes,no,no,,,,no,,,,yes,no,yes,no,no,,,no,,,,,,no,,,,yes,yes
Kenya,KEN,167136074,0.524307099,1 male,31,completed tertiary or more,5 richest 20%,yes,yes,yes,yes,yes,yes,no,,,,,,,,,,,yes,1 one or two times per month,yes,1 one or two times per month,1 you get it at an atm,yes,no,no,no,no,no,yes,yes,yes,no,yes,yes,no,no,yes,2 somewhat possible,"2 family, relatives, or friends",yes,no,no,yes,no,yes,no,no,yes,no,yes,yes,no,yes,no,,,,yes,no,no,yes,no,2 over time as needed,"2 you had an account before, but this account was opened so you could receive payments from an employer.",no,,,,,,no,,,,yes,yes
Kenya,KEN,183375899,0.524307099,1 male,29,secondary,5 richest 20%,yes,yes,yes,yes,yes,no,no,,,,,,,,,,,yes,1 one or two times per month,no,,1 you get it at an atm,no,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,1 very possible,3 money from working or a loan from an employer,yes,no,no,yes,no,no,,,,,yes,yes,no,no,no,,,,yes,yes,no,yes,no,2 over time as needed,1 you had this account before you began receiving payments from an employer.,no,,,,,,yes,yes,no,no,yes,no
Kenya,KEN,168065919,3.060138722,1 male,54,completed primary or less,4 fourth 20%,yes,yes,no,yes,yes,no,no,,,,,,,,,,,yes,2 three or more times per month,yes,2 three or more times per month,2 you get it over the counter in a branch of your financial institution,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,1 very possible,3 money from working or a loan from an employer,yes,yes,yes,yes,yes,no,,,,,no,,,,yes,no,yes,no,yes,yes,yes,no,no,,,no,,,,,,no,,,,yes,yes
Kenya,KEN,117517350,1.110362585,1 male,24,completed primary or less,5 richest 20%,yes,yes,no,yes,yes,no,no,,,,,,,,,,,yes,1 one or two times per month,yes,1 one or two times per month,2 you get it over the counter in a branch of your financial institution,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,3 not very possible,6 some other source,yes,yes,no,yes,no,yes,yes,no,yes,no,no,,,,no,,,,yes,no,no,yes,no,2 over time as needed,1 you had this account before you began receiving payments from an employer.,no,,,,,,no,,,,no,yes
Kenya,KEN,115576344,0.411420973,1 male,60,secondary,3 middle 20%,yes,yes,no,yes,yes,no,no,,,,,,,,,,,no,,no,,1 you get it at an atm,yes,no,no,yes,no,yes,no,no,no,no,no,no,yes,no,no,2 somewhat possible,1 savings,no,,,,,no,,,,,yes,yes,no,no,yes,no,yes,no,no,,,,,,,no,,,,,,yes,yes,no,no,yes,yes
Kenya,KEN,192432215,1.221235062,2 female,20,secondary,3 middle 20%,yes,yes,yes,no,,,no,,yes,no,no,no,no,no,no,no,no,,,,,,,yes,yes,no,yes,no,no,no,no,no,yes,no,yes,no,no,1 very possible,"2 family, relatives, or friends",yes,yes,no,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,no,no,,,,,,,no,,,,,,yes,yes,no,yes,yes,yes
Kenya,KEN,169525874,0.306013872,2 female,25,completed primary or less,4 fourth 20%,yes,yes,no,no,,,no,,,,,,,,,,,no,,no,,2 you get it over the counter in a branch of your financial institution,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,3 not very possible,6 some other source,no,,,,,yes,yes,no,yes,no,yes,yes,no,no,no,,,,no,,,,,,,no,,,,,,no,,,,no,no
Kenya,KEN,133901159,1.048614197,1 male,26,secondary,5 richest 20%,yes,yes,yes,yes,yes,no,no,,,,,,,,,,,yes,1 one or two times per month,yes,1 one or two times per month,1 you get it at an atm,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,yes,4 not at all possible,,yes,yes,no,yes,no,yes,yes,no,yes,no,no,,,,no,,,,yes,yes,yes,yes,yes,2 over time as needed,1 you had this account before you began receiving payments from an employer.,no,,,,,,no,,,,yes,yes
Kenya,KEN,132290129,0.306013872,2 female,26,secondary,3 middle 20%,no,no,no,no,,,no,,no,no,no,no,no,yes,no,no,no,,,,,,,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,3 not very possible,"2 family, relatives, or friends",no,,,,,yes,no,no,yes,no,yes,yes,no,yes,no,,,,no,,,,,,,no,,,,,,no,,,,no,yes
Kenya,KEN,200869740,0.88810863,1 male,50,secondary,5 richest 20%,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,yes,2 three or more times per month,yes,2 three or more times per month,1 you get it at an atm,yes,yes,yes,no,yes,yes,yes,no,yes,no,no,yes,no,no,no,1 very possible,1 savings,no,,,,,no,,,,,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,2 over time as needed,"2 you had an account before, but this account was opened so you could receive payments from an employer.",no,,,,,,no,,,,yes,yes
Kenya,KEN,188258375,1.599056553,1 male,20,secondary,3 middle 20%,yes,yes,no,no,,,no,,,,,,,,,,,no,,no,,1 you get it at an atm,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,1 very possible,1 savings,no,,,,,no,,,,,no,,,,yes,yes,no,yes,no,,,,,,,no,,,,,,no,,,,yes,no
Kenya,KEN,159301748,1.67679932,2 female,23,secondary,1 poorest 20%,yes,yes,yes,yes,yes,no,no,,,,,,,,,,,yes,3 money is not deposited in a typical month,no,,2 you get it over the counter in a branch of your financial institution,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,1 very possible,"2 family, relatives, or friends",yes,no,no,yes,no,yes,no,no,yes,no,no,,,,no,,,,no,,,,,,,no,,,,,,no,,,,yes,no
Kenya,KEN,113896238,0.306013872,2 female,32,secondary,5 richest 20%,yes,yes,yes,yes,yes,no,no,,,,,,,,,,,yes,1 one or two times per month,yes,1 one or two times per month,1 you get it at an atm,no,no,yes,no,yes,no,yes,yes,no,no,yes,yes,no,no,yes,1 very possible,1 savings,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,,,,,,,no,,,,,,no,,,,yes,yes
Kenya,KEN,209766577,0.823335642,1 male,23,completed tertiary or more,5 richest 20%,yes,yes,yes,yes,yes,no,no,,,,,,,,,,,yes,3 money is not deposited in a typical month,yes,1 one or two times per month,1 you get it at an atm,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,1 very possible,"2 family, relatives, or friends",yes,yes,no,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,no,,,,yes,no,yes,no,yes,2 over time as needed,1 you had this account before you began receiving payments from an employer.,no,,,,,,no,,,,yes,yes
Kenya,KEN,162192477,0.823335642,1 male,24,secondary,4 fourth 20%,no,no,no,no,,,no,,no,no,no,no,no,yes,no,no,no,,,,,,,no,no,no,yes,yes,yes,no,no,yes,no,no,yes,yes,no,4 not at all possible,,no,,,,,yes,yes,no,yes,no,no,,,,yes,yes,no,no,yes,no,yes,no,no,,,no,,,,,,no,,,,yes,yes
Kenya,KEN,147854373,0.814156708,2 female,19,secondary,3 middle 20%,yes,no,yes,no,,,no,,no,no,no,no,no,yes,no,no,no,,,,,,,no,no,no,yes,no,no,no,no,no,yes,no,yes,yes,no,3 not very possible,"2 family, relatives, or friends",no,,,,,yes,yes,no,yes,no,no,,,,yes,yes,no,no,no,,,,,,,no,,,,,,yes,no,no,yes,yes,yes
Kenya,KEN,130384604,1.646671283,1 male,22,secondary,5 richest 20%,yes,yes,yes,yes,yes,no,no,,,,,,,,,,,no,,yes,3 money is not taken out in a typical month,1 you get it at an atm,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,2 somewhat possible,3 money from working or a loan from an employer,yes,no,no,yes,no,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,,,,,,,no,,,,,,no,,,,yes,yes
Kenya,KEN,184256149,1.221235062,2 female,20,secondary,2 second 20%,yes,yes,yes,yes,yes,no,no,,,,,,,,,,,no,,no,,1 you get it at an atm,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,1 very possible,4 a credit card or borrowing from a formal financial institution,no,,,,,no,,,,,no,,,,no,,,,yes,no,no,yes,yes,4 (refused),"3 this was your first account, and it was opened so you could receive payments from an employer.",no,,,,,,yes,no,no,yes,yes,yes
Kenya,KEN,163005744,0.518461876,2 female,30,secondary,3 middle 20%,yes,yes,yes,yes,no,no,no,,,,,,,,,,,yes,1 one or two times per month,yes,1 one or two times per month,1 you get it at an atm,yes,no,yes,no,yes,yes,yes,no,no,yes,yes,no,yes,yes,no,3 not very possible,1 savings,no,,,,,no,,,,,yes,yes,no,yes,yes,yes,no,no,no,,,,,,,no,,,,,,no,,,,yes,yes
Kenya,KEN,133613814,0.518461876,2 female,30,secondary,3 middle 20%,yes,yes,no,yes,yes,yes,no,,,,,,,,,,,yes,1 one or two times per month,yes,1 one or two times per month,1 you get it at an atm,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,1 very possible,1 savings,yes,no,no,yes,no,no,,,,,no,,,,yes,yes,no,yes,yes,no,yes,no,no,,,no,,,,,,no,,,,yes,no
Kenya,KEN,174786718,0.509146367,1 male,26,secondary,3 middle 20%,yes,no,yes,no,,,no,,no,no,no,yes,no,yes,no,no,no,,,,,,,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,4 not at all possible,,yes,no,no,yes,no,no,,,,,no,,,,no,,,,yes,no,no,no,yes,3 (dk),4 (dk),no,,,,,,no,,,,yes,no
Kenya,KEN,203139853,0.814156708,2 female,16,secondary,3 middle 20%,no,no,no,no,,,no,,yes,no,yes,yes,no,yes,no,no,yes,,,,,,,no,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,4 not at all possible,,yes,yes,yes,yes,no,no,,,,,no,,,,no,,,,yes,no,yes,no,no,,,no,,,,,,no,,,,yes,yes
Kenya,KEN,196179618,0.518461876,2 female,26,secondary,4 fourth 20%,yes,yes,yes,yes,yes,yes,no,,,,,,,,,,,yes,1 one or two times per month,yes,1 one or two times per month,1 you get it at an atm,yes,no,no,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,1 very possible,1 savings,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,1 all of the money right away,1 you had this account before you began receiving payments from an employer.,yes,yes,yes,yes,1 all of the money right away,"3 this was your first account, and it was opened so you could receive payments from the government.",no,,,,yes,yes
Kenya,KEN,179253912,1.067799986,2 female,34,secondary,5 richest 20%,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,yes,2 three or more times per month,yes,1 one or two times per month,1 you get it at an atm,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,2 somewhat possible,"2 family, relatives, or friends",yes,yes,no,yes,no,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,,,,,,,no,,,,,,yes,yes,no,yes,yes,no
Kenya,KEN,133887676,0.777692814,2 female,25,secondary,3 middle 20%,yes,yes,yes,yes,yes,no,no,,,,,,,,,,,no,,no,,1 you get it at an atm,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,3 not very possible,7 (dk),no,,,,,yes,no,yes,no,no,no,,,,no,,,,no,,,,,,,no,,,,,,no,,,,yes,no
Kenya,KEN,189344146,0.799528276,1 male,16,secondary,1 poorest 20%,yes,yes,yes,yes,no,no,no,,,,,,,,,,,yes,1 one or two times per month,no,,4 you get it some other way,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,yes,no,1 very possible,1 savings,yes,no,yes,yes,no,yes,yes,no,yes,no,no,,,,yes,no,no,no,no,,,,,,,no,,,,,,yes,yes,no,yes,yes,yes
Kenya,KEN,148702892,0.509146367,1 male,27,completed primary or less,1 poorest 20%,yes,yes,yes,no,,,no,,,,,,,,,,,no,,no,,2 you get it over the counter in a branch of your financial institution,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,1 very possible,"2 family, relatives, or friends",yes,yes,no,yes,no,yes,no,no,yes,yes,no,,,,no,,,,no,,,,,,,no,,,,,,no,,,,yes,no
Kenya,KEN,147263495,1.67679932,2 female,20,secondary,1 poorest 20%,yes,yes,yes,yes,yes,no,no,,,,,,,,,,,yes,1 one or two times per month,no,,1 you get it at an atm,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,1 very possible,"2 family, relatives, or friends",yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,,,,yes,yes,no,no,no,,,,,,,no,,,,,,yes,yes,no,yes,yes,no
